"relative_path","role","bytes","sha256"
"README.md","package_readme","5436","9bba3bbaf8bb561bb5c8656b4b7292292010f590164dbb75f93118cac066c31b"
"st01/README.md","included_study_and_report_lineage","1882","94bff5c5dc19c8bfdaf0a0778cb0be2c2edf6ee310ac2793bd7502b0c7421ffc"
"st01/ST01_INCLUDED_STUDIES_206.csv","included_study_and_report_lineage","139394","5b2fc86b10e3446736e8485dce64acdcb8adc3acc33b3d82c9cb0e6e65c370f0"
"st01/ST01_INCLUDED_STUDIES_206.tex","included_study_and_report_lineage","98429","b8349bb39dbf3685b29a2a97368036d69d87c1c70efc14e67498ddb2f21341ce"
"st01/ST01_INCLUDED_STUDIES_206.xlsx","included_study_and_report_lineage","131134","f7e304d25ea9e7a6ca477121c5e4bdb6428c71de036a0396514c26486cdacdb5"
"st01/ST01_ELIGIBLE_REPORT_LINEAGE_227.csv","included_study_and_report_lineage","142687","527ef717c70eb5d4b9225687f18ebb4cd3ac137780bc6072fbbb5350116437da"
"st01/ST01_COMPANION_REPORT_PROVENANCE_21.csv","included_study_and_report_lineage","18153","740448cb8fe20b99fb9d089eae69674e127a465d67770d172b84058f6ab81c9f"
"st01/ST01_COMPANION_REPORT_PROVENANCE_21.tex","included_study_and_report_lineage","5493","8ef19fbc4653a305793bedb4e1b0fdb8d1d3218b5bd16b36a27a7abb2905b8f8"
"st01/ST01_COMPANION_GUARDRAIL_METRICS_14.csv","included_study_and_report_lineage","8101","c684f13a90e18ad0ed665e32cf822de52cae9e1eb7ceb2a6febb3530f7c04d4c"
"st01/INCLUDED_STUDIES_206_EXPLICIT_BIBLIOGRAPHY.tex","included_study_and_report_lineage","3648","baf58eff39fac76712dd1dfff350f64e4f93248a2e03bbe178aac4dbb998ffab"
"st01/ST01_SUPPLEMENT_DRIVER.tex","included_study_and_report_lineage","1540","9c34cd5e9a1a80022e40d1df659e36ae930866322a39acaab8c7cb37505436be"
"st01/ST01_SUPPLEMENT_DRIVER.pdf","included_study_and_report_lineage","169741","b04eea78405fee091e7cb62206f76311ac4002cbe9c2b4c9a8e1c59a4bda4992"
"st01/ST01_REFERENCES_206.bib","included_study_and_report_lineage","88969","669e3b8acec08246f264f4f73a4a1f2b09420ee54d2fd1b287392dadf493a064"
"st01/ST01_REFERENCES_227.bib","included_study_and_report_lineage","100347","a075d7ab476caf39596ad413ef34582f442d44299ec0c17e2eea27776bc4c5d5"
